BrandAAIAID|PartNumber|DescriptionCode|Description|Sequence
BKDK|110703|FAB|Protected By A Durable High-Gloss Black Powder Coat Finish|4
BKDK|110703|FAB|Co-Cured In A Rust-Resistant Liquid Bonderite Coating|5
BKDK|110703|FAB|Strengthened w/A Cast Welded Seamless Collar|6
BKDK|110703|FAB|Equipped w/An Open-Back Receiver For Easy Cleaning|7
BKDK|110703|FAB|1 1/4 In. X 1 1/4 In. Ball Mount Features A 3/4 In. Hole|8
BKDK|110703|FAB|Backed By A Limited Lifetime Warranty|9
BKDK|11073|FAB|Made w/A Vehicle-Specific Design For A Custom Fit|1
BKDK|11073|FAB|Tested For Safety In Accordance w/SAE J684|2
BKDK|11073|FAB|Precisely Welded For Superior Strength And Fit|3
BKDK|11073|FAB|Constructed w/A Sleek Round-Tube Main Body|4
